2026-05-25 08:45:16.533 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:18.534 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:20.534 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:22.536 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:24.537 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:26.539 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:28.540 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:30.541 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:32.543 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:34.544 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:36.545 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:38.547 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:40.548 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:42.550 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:44.551 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:46.553 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:48.555 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:50.556 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:52.558 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:54.559 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:56.560 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:45:58.583 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:00.585 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:02.588 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:04.589 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:06.590 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
2026-05-25 08:46:08.592 [DEBUG   ] [ThreadWatchdog tid=13420] Watchdog snapshot: 3 alive — ['DebugMonitor', 'MainThread', 'ThreadWatchdog']
